identifiant,release,nationalite,date_sortie_dvd,date_sortie_bluray,date_sortie_vod,type_film,budget,langues,format_production,couleur,format_audio,format_projection,recompenses,num_visa,duration,genre1,genre2,genre3,director,press_rating,press_reviews,spectators_rating,spectators_reviews,L’Écran fantastique,Les Cahiers du cinéma,Cinemateaser,Les Inrocks,Mad Movies,Positif,Première,Télérama,Transfuge,À voir à lire,Bande à part,Critikat,Culturebox,Culturopoing,Ecran large,Filmsactu,Journal du geek,La Septième obsession,LCI,Les Fiches du cinéma,IGN France,20 minutes,Charlie Hebdo,CNews,Les Dernières Nouvelles d’Alsace,Les Echos,L’Humanité,La Croix,La Voix du nord,Le Dauphiné Libéré,Le Figaro,Le JDD,Le Monde,Le Parisien,Le Point,Libération,Marianne,Nouvel Obs,Ouest France,Sud-Ouest,Biba,Closer,Elle,Femme actuelle,GQ,Marie-Claire,Paris Match,Public,Rolling Stone,Télé 2 semaines,Télé 7 jours,Téléloisirs,Voici
173528,en salle,,15/06/2011,15/06/2011,15/06/2011,Long métrage,-,"Flamand, Français",-,Couleur,-,-,3 prix et 5 nominations,125668,1h 48min,Comédie,,,Dany Boon,"2,2",25,"2,4",27752,,,,,,Très mauvais,Pas mal,Très mauvais,,,,,,,,Pas mal,,,,,,,,,,,,Très mauvais,,,,,Pas terrible,Très bien,Pas mal,Très mauvais,,,,,,,,,,,Très bien,,,,,,
146632,en salle,France,04/01/2012,23/02/2011,01/03/2016,Long métrage,17 000 000 EUR,Français,-,Couleur,-,-,4 prix et 6 nominations,121 898,2h 34min,Comédie dramatique,,,Guillaume Canet,"2,9",26,"3,6",40015,,,,,,Pas terrible,Très bien,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,Pas mal,,,,,Pas terrible,Pas mal,Très bien,Très mauvais,,,Pas mal,,,,Très bien,,,,,,,,,,
133588,en salle,U.S.A.,-,03/11/2010,01/06/2015,Long métrage,110 000 000 USD,"Anglais, Français, Espagnol, Swahili",-,Couleur,-,-,,-,1h 54min,Action,Comédie,,Joe Carnahan,"3,2",16,"3,2",18679,,,,,,,,Pas mal,,,,,,,,Très bien,,,,,,,,,,,,,,,,,Pas terrible,,Pas mal,Pas terrible,,,Pas mal,,,,,,,,,,,,,,
132039,en salle,U.S.A.,24/06/2010,24/06/2010,15/10/2017,Long métrage,80 000 000 USD,"Anglais, Allemand",-,Couleur,-,-,4 nominations,124145,2h 17min,Thriller,,,Martin Scorsese,"3,8",31,"4,4",83840,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,,,,,,,,Très bien,,,,,,,,,,,,Pas mal,,,,,Très bien,Chef-d'oeuvre,Chef-d'oeuvre,Pas mal,Chef-d'oeuvre,,Très bien,,,,Chef-d'oeuvre,,,,Pas mal,,,,,,
123534,en salle,U.S.A.,06/04/2011,02/11/2010,20/05/2016,Long métrage,165 000 000 USD,Anglais,-,Couleur,-,-,1 prix et 9 nominations,124842,1h 33min,Aventure,Animation,Famille,Chris Sanders,"3,9",20,"4,3",31882,,,,,Très bien,Pas terrible,,Pas mal,,,,,,,,,,,,,,,Pas mal,,,,,Chef-d'oeuvre,,,,,Pas mal,Chef-d'oeuvre,Pas mal,,,,Très bien,,,,,,,,,,,,,,
179349,en salle,Canada,06/09/2016,-,12/05/2011,Long métrage,-,"ARABIC, Français",-,Couleur,-,-,2 prix et 6 nominations,128172,2h 03min,Drame,,,Denis Villeneuve,"3,8",18,"4,3",8677,,,,,,Très bien,Très bien,Très bien,,,,,,,,,,,,,,,,,,,,Très bien,,,,,Pas mal,Très bien,Chef-d'oeuvre,Très bien,,,Pas mal,,,,,,,,,,,,,,
141890,en salle,France,09/11/2011,01/04/2012,09/11/2011,Long métrage,-,Français,-,Couleur,-,-,2 nominations,117828,1h 35min,Comédie,,,Olivier Baroux,"2,3",6,"2,4",18055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,Pas terrible,,,,Très bien,,,,,,,,,,
143692,en salle,,08/12/2010,03/12/2010,08/04/2013,Long métrage,160 000 000 USD,"Anglais, Japonais",-,Couleur,-,-,11 prix et 35 nominations,126718,2h 28min,Science Fiction,Thriller,,Christopher Nolan,"4,1",24,"4,5",113625,,,,,Très bien,Très bien,,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,Pas mal,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,Pas mal,,,Très bien,,,,Chef-d'oeuvre,,,,Très bien,,,,,,
125828,en salle,U.S.A.,01/12/2024,29/06/2011,01/06/2015,Long métrage,-,"Anglais, Français, Italien",-,Couleur,-,-,9 prix et 37 nominations,128183,1h 43min,Drame,Thriller,,Darren Aronofsky,"4,2",34,"4,1",50755,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,Pas mal,,,,,,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,Très bien,Pas terrible,,Très bien,,,,Chef-d'oeuvre,,,,Pas mal,,,,,,
126127,en salle,,-,-,30/09/2016,Long métrage,200 000 000 USD,Anglais,-,Couleur,-,-,5 nominations,126122,2h 20min,Action,Aventure,,Ridley Scott,"3,4",21,"3,2",27492,,,,,,Pas mal,Très bien,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Pas terrible,,,,,Pas mal,Très bien,Très bien,,,,Très bien,,,,,,,,,,,,,,
143276,en salle,U.S.A.,01/12/2024,-,01/10/2012,Long métrage,52 000 000 USD,Anglais,-,Couleur,-,-,1 prix et 3 nominations,125449,2h 03min,Comédie,Romance,,Garry Marshall,"2,5",13,"2,5",7483,,,,,,,,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Très mauvais,Pas terrible,,,,,Pas terrible,,,,,,,,,,,,,,
82376,en salle,U.S.A.,09/02/2011,09/02/2011,30/11/2011,Long métrage,37 000 000 USD,Anglais,-,Couleur,-,-,7 nominations,127293,2h 03min,Drame,Thriller,,Ben Affleck,"3,5",20,"3,9",18433,,,,,,Très bien,Très bien,Pas mal,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Très bien,,Très bien,Pas mal,,,Très bien,,,,,,,,,,,,,,
132406,en salle,,08/09/2010,08/09/2010,08/09/2010,Long métrage,45 000 000 USD,Anglais,-,Couleur,-,-,14 prix et 10 nominations,119365,2h 08min,Drame,Thriller,,Roman Polanski,"4,6",24,"3,8",16707,,,,,,Très bien,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,,Chef-d'oeuvre,,,,,,,Chef-d'oeuvre,,,,,Très bien,,,,,Chef-d'oeuvre,Très bien,Chef-d'oeuvre,Chef-d'oeuvre,,,Chef-d'oeuvre,,,,,,,,Très bien,,,,,,
172167,en salle,France,-,-,10/07/2015,Long métrage,-,Français,35mm,Couleur,-,-,4 prix et 9 nominations,119454,1h 44min,Comédie,,,Michel Leclerc,"3,7",25,"3,8",6245,,,,,,Très bien,,Très bien,,,,,,,,Très bien,,,,,,,,,,,,Très bien,,,,,Pas mal,Chef-d'oeuvre,Chef-d'oeuvre,Pas terrible,Très bien,,Très bien,,,,Pas mal,,,,Très bien,,,,,,
131494,en salle,U.S.A.,30/11/2011,28/07/2014,24/03/2021,Long métrage,-,Anglais,-,Couleur,-,-,7 nominations,129205,1h 54min,Drame,Romance,,Derek Cianfrance,"3,6",18,"3,7",4478,,,,,,Pas mal,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,Très bien,Très bien,Très bien,,,Pas mal,,,,,,,,,,,,,,
182097,en salle,France,-,-,01/02/2016,Long métrage,-,Français,-,Couleur,-,-,1 prix et 3 nominations,126377,1h 34min,Comédie,,,Thomas Ngijol,"3,0",16,"2,9",10254,,,,,,,Très bien,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,Pas terrible,,,,,Pas terrible,Pas terrible,Très bien,,,,Pas mal,,,,,,,,,,,,,,
140302,en salle,U.S.A.,-,-,23/08/2011,Long métrage,10 000 000 USD,Anglais,-,Couleur,-,-,,-,1h 20min,Fantastique,Epouvante-horreur,Thriller,John Erick Dowdle,"1,7",12,"2,3",1793,,,,,,,Pas mal,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,
140623,en salle,U.S.A.,01/06/2017,07/02/2011,25/07/2017,Long métrage,69 000 000 USD,Anglais,-,Couleur,-,-,11 nominations,126816,1h 35min,Animation,,,Chris Renaud,"3,4",23,"4,0",27585,,,,,,Pas mal,Très bien,Très bien,,,,,,,,Pas terrible,,,,,,,,,,,,Pas mal,,,,,Pas mal,Très bien,Très bien,,Très bien,,Très bien,,,,,,,,,,,,,,
133340,en salle,U.S.A.,-,-,01/01/2015,Long métrage,20 000 000 USD,Anglais,-,Couleur,-,-,,127488,1h 45min,Action,Policier,Drame,John Luessenhop,"2,1",10,"3,0",2291,,,,,,,,,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,Très mauvais,Très bien,,Très mauvais,,,,,,,,,,,,,,,,,
174939,en salle,,20/07/2011,-,20/07/2011,Long métrage,-,Anglais,-,Couleur,-,-,1 prix et 24 nominations,128277,1h 34min,Aventure,Biopic,Drame,Danny Boyle,"3,2",28,"3,8",25110,,,,,,Très bien,Très bien,Pas terrible,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Très bien,,,,,Très bien,Chef-d'oeuvre,Pas mal,Pas terrible,,,Pas mal,,,,,,,,Très bien,,,,,,
132663,en salle,U.S.A.,15/02/2003,24/07/2010,01/02/2016,Long métrage,-,Anglais,-,Couleur,-,-,4 prix et 12 nominations,125616,1h 48min,Aventure,Famille,Fantastique,Tim Burton,"3,5",31,"3,3",50706,,,,,Pas terrible,Chef-d'oeuvre,,Pas terrible,,,,,,,,Pas mal,,,,,,,Pas mal,,,,,Très bien,,,,,Chef-d'oeuvre,Très bien,Pas mal,Très bien,Pas terrible,,Très bien,,,,Très bien,,,,Pas terrible,,,,,,
