identifiant,L'Express,Télérama,Brazil,Les Fiches du Cinéma,Les Inrockuptibles,Le Figaroscope,Cahiers du Cinéma,Le Point,Bande à part,Le Monde,20 Minutes,Télé Z,Ciné Live,So Film,La Septième Obsession,Le Quotidien de Paris,Chicago Sun-Times,Elle,BIBA,Télé Loisirs,Les Echos,Le Journal du Geek,Sud Ouest,Marianne,GQ,Metro,Le Figaro,Marie Claire,La Voix du Nord,Franceinfo Culture,Time Out Paris,France Soir,Obejctif-Cinema.com,La Tribune,Femme Actuelle,L'Obs,Gala,Télé Câble Sat,Ouest France,Abus de Ciné,L'Aurore,Positif,Impact,Konbini,TéléCinéObs,Mad Movies,Chronic'art.com,Critikat.com,Paris Match,La Croix,TF1 News,Télé 7 Jours,Rolling Stone,IGN France,Télé 2 semaines,Dvdrama,Le Parisien,Aden,L'Humanité,Courrier International,Closer,CinemaTeaser,Le Dauphiné Libéré,Filmsactu,Excessif,Charlie Hebdo,Ecran Large,Le Journal du Dimanche,VSD,Fantastikindia,Public,Première,LCI,Transfuge,Téléstar,CNews,Libération,Slate,Voici,Studio Magazine,Studio Ciné Live,Dernières Nouvelles d'Alsace,Le Soir,L'Ecran Fantastique,Culturopoing.com,aVoir-aLire.com
173528,Pas mal,Très mauvais,,,Très mauvais,Très mauvais,Très mauvais,Pas mal,,Pas terrible,Pas mal,,,,,,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,Très mauvais,,,Très mauvais,,Très mauvais,Très mauvais,Très bien,Très mauvais,,Très bien,,,,,Très bien,,,,,,,Pas mal,Pas mal,,,Très mauvais,,,,Pas mal,,,,,Très mauvais,,,,Pas terrible,,,,,
146632,Pas terrible,Pas terrible,Pas mal,,Très mauvais,Chef-d'oeuvre,Très mauvais,Très bien,,Pas terrible,Très bien,,,,,,,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,,,,Pas terrible,,,Pas mal,,,Pas terrible,,,Pas terrible,,Très mauvais,Pas terrible,,Pas mal,,Chef-d'oeuvre,,,,,Pas mal,,,,,,,Pas mal,Pas mal,,,Très bien,,,,Très bien,,,,,Très mauvais,,,,Chef-d'oeuvre,,,,,
133588,Pas mal,Pas mal,,,Pas mal,Très bien,,Pas mal,,Pas terrible,Très bien,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Pas mal,,,,,,,,Pas mal,Pas mal,,,,Très bien,,,,,,,,,,,,Très bien,Pas mal,,,Pas mal,,,,,,,,,Pas terrible,,,,,,,,,
132039,Pas mal,Très bien,Pas mal,,Très bien,Pas mal,Pas terrible,Chef-d'oeuvre,,Très bien,Très bien,,,,,,,Chef-d'oeuvre,,,,,,Chef-d'oeuvre,,Chef-d'oeuvre,,,,,,,,,,Pas mal,,,Très bien,,,Chef-d'oeuvre,,,Pas terrible,Chef-d'oeuvre,Très bien,,Pas mal,Pas mal,,Très bien,,,,,Chef-d'oeuvre,,Pas mal,,,,,Très bien,Chef-d'oeuvre,,,Pas terrible,,,,Chef-d'oeuvre,,,,,Pas mal,,,,Chef-d'oeuvre,,,Pas terrible,,
123534,Chef-d'oeuvre,Pas mal,Très bien,,,Très bien,,Pas mal,,Pas mal,Chef-d'oeuvre,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Très bien,,,Pas terrible,,,Très bien,Très bien,,,,Chef-d'oeuvre,,Pas terrible,,,,,Chef-d'oeuvre,,,,,,,,Chef-d'oeuvre,Pas mal,,Très bien,,,,,,,,,,,,,Très bien,,,Très bien,,
179349,Très bien,Très bien,,,Très bien,Très bien,Pas terrible,Chef-d'oeuvre,,Pas mal,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Très bien,,,,,,Pas mal,,Très bien,,Chef-d'oeuvre,,,,,Très bien,,,,,,,,,,,Chef-d'oeuvre,,,,Très bien,,,,,Très bien,,,,Pas terrible,,,,,
141890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143692,Chef-d'oeuvre,Pas terrible,,,Chef-d'oeuvre,,Pas mal,Très bien,,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,Chef-d'oeuvre,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,Très bien,,,Très bien,,,,Très bien,,Pas terrible,Très bien,Pas mal,,Chef-d'oeuvre,,,,,Chef-d'oeuvre,,,,,,,Très bien,Chef-d'oeuvre,,,Pas terrible,,,,,,,,,Pas mal,,,,Chef-d'oeuvre,,,Très bien,,
125828,Pas mal,Très bien,Chef-d'oeuvre,Très bien,Chef-d'oeuvre,Très bien,Chef-d'oeuvre,Très bien,,Chef-d'oeuvre,Très bien,,,,,,,Chef-d'oeuvre,,,,,,Pas terrible,,Chef-d'oeuvre,,,,,,,,,,Pas mal,,,Très bien,,,Chef-d'oeuvre,,,Très bien,Chef-d'oeuvre,,Pas mal,Pas mal,,,Très bien,,,,,Chef-d'oeuvre,,Chef-d'oeuvre,,,Pas mal,,Chef-d'oeuvre,Chef-d'oeuvre,Pas mal,Chef-d'oeuvre,Très bien,,,,Chef-d'oeuvre,,,,,Très bien,,,,Très mauvais,,,Chef-d'oeuvre,,
131494,Pas mal,Pas mal,Très bien,,Pas mal,Chef-d'oeuvre,Pas terrible,Très bien,,Très bien,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Pas mal,,,Pas mal,,,Très bien,,Pas mal,Très bien,,,,,,,,,Très bien,,,,,,,,,,,Très bien,,,,Très bien,,,,,Très bien,,,,,,,,,
